id	identifier	bibliographicCitation	description
gbif.org/species/4239	https://biodiversitylibrary.org/page/24884921	Latreille PA (1802) Histoire naturelle, générale et particulière des crustacés et des insectes. Familles naturelles des genres. Tome troisième. L’Imprimerie de F. Dufart, Paris, 467 pp. https://biodiversitylibrary.org/page/24884921	Primera vez que se nombra 'Curculionites' como grupo (p. 195)
gbif.org/species/4239		Wibmer GJ, O’Brien CW (1986) Annotated checklist of the weevils (Curculionidae sensu lato) of South America (Coleoptera: Curculionoidea). Memoirs of the American Entomological Institute, 39, 1–563.	Se lista la familia Curculionidae (p. 44)
gbif.org/species/4239	https://weevil.myspecies.info/sites/weevil.info/files/Alonso-Zarazaga%20%26%20Lyal,%201999_World%20Catalogue%20%28searchable%29.pdf	Alonso-Zarazaga MA, Lyal CHC (1999) A world catalogue of families and genera of Curculionoidea (Insecta: Coleoptera) excluding Scolytidae and Platypodidae. Entomopraxis, Barcelona, Spain, 315 pp. https://weevil.myspecies.info/sites/weevil.info/files/Alonso-Zarazaga%20%26%20Lyal,%201999_World%20Catalogue%20%28searchable%29.pdf	Se lista la familia Curculionidae (p. 72)
gbif.org/species/4239	https://doi.org/10.3897/zookeys.88.807	Bouchard P, Bousquet Y, Davies A, Alonso-Zarazaga M, Lawrence J, Lyal C, Newton A, Reid C, Schmitt M, Slipinski A, Smith A (2011) Family-group names in Coleoptera (Insecta). ZooKeys 88: 1–972. https://doi.org/10.3897/zookeys.88.807	Se lista la familia Curculionidae (p. 86)
biolib.cz/en/taxon/id684323/	https://gallica.bnf.fr/ark:/12148/bpt6k9232273.image	Marseul, S.A. de (1863) Catalogue des Coléoptères d’Europe et du Bassin de la Méditirranée en Afrique et en Asie. Deuxiime edition. Imprimerie de Mary-Beauchene, Paris, 300 pp.	Se nombra por primera vez 'Hyperidae' como grupo (p. 224)
biolib.cz/en/taxon/id684323/	https://biodiversitylibrary.org/page/9375856	Lacordaire, J.T. (1863) Histoire naturelle des insectes: Genera des Coléoptères ou exposé méthodique et critique de tous les genres proposés jusqu’ici dans cet ordre d’insectes. Tome Sexième. Contenant la famille des Curculionides. Librairie encyclopédique de Roret, Paris, 637 pp.	Diagnosis del grupo 'Hypérides' (p. 395)
biolib.cz/en/taxon/id684323/	https://www.biodiversitylibrary.org/page/32545979	Capiomont, G. (1867) Révision de la tribu des Hypérides, Lacordaire, et en particulier des genres Hypera Germ., Limobius, Schönh. et Coniatus (Germ.) Schönh. renfermant la description de plusieurs genres nouveaux et de 85 espèces nouvelles. Annales de la Société Entomologique de France 4(7: 3), 417-456 + pl. 11–12.	Revisión del grupo 'Hypérides'
biolib.cz/en/taxon/id684323/		Wibmer GJ, O’Brien CW (1986) Annotated checklist of the weevils (Curculionidae sensu lato) of South America (Coleoptera: Curculionoidea). Memoirs of the American Entomological Institute, 39, 1–563.	Se lista la subfamilia Hyperinae (p. 111)
biolib.cz/en/taxon/id684323/	https://weevil.myspecies.info/sites/weevil.info/files/Alonso-Zarazaga%20%26%20Lyal,%201999_World%20Catalogue%20%28searchable%29.pdf	Alonso-Zarazaga MA, Lyal CHC (1999) A world catalogue of families and genera of Curculionoidea (Insecta: Coleoptera) excluding Scolytidae and Platypodidae. Entomopraxis, Barcelona, Spain, 315 pp. https://weevil.myspecies.info/sites/weevil.info/files/Alonso-Zarazaga%20%26%20Lyal,%201999_World%20Catalogue%20%28searchable%29.pdf	Se lista la subfamilia Hyperinae (p. 188)
biolib.cz/en/taxon/id684323/	https://doi.org/10.3897/zookeys.88.807	Bouchard P, Bousquet Y, Davies A, Alonso-Zarazaga M, Lawrence J, Lyal C, Newton A, Reid C, Schmitt M, Slipinski A, Smith A (2011) Family-group names in Coleoptera (Insecta). ZooKeys 88: 1–972. https://doi.org/10.3897/zookeys.88.807	Se lista la subfamilia Hyperinae (p. 91)
biolib.cz/en/taxon/id858132/	https://www.biodiversitylibrary.org/page/32545979	Capiomont, G. (1867) Révision de la tribu des Hypérides, Lacordaire, et en particulier des genres Hypera Germ., Limobius, Schönh. et Coniatus (Germ.) Schönh. renfermant la description de plusieurs genres nouveaux et de 85 espèces nouvelles. Annales de la Société Entomologique de France 4(7: 3), 417-456 + pl. 11–12.	Se nombra y diagnostica por primera vez el grupo 'Cépurides' con clave a géneros (p. 438)
biolib.cz/en/taxon/id858132/		Wibmer GJ, O’Brien CW (1986) Annotated checklist of the weevils (Curculionidae sensu lato) of South America (Coleoptera: Curculionoidea). Memoirs of the American Entomological Institute, 39, 1–563.	Se lista la tribu Cepurini (p. 111)
biolib.cz/en/taxon/id858132/	https://weevil.myspecies.info/sites/weevil.info/files/Alonso-Zarazaga%20%26%20Lyal,%201999_World%20Catalogue%20%28searchable%29.pdf	Alonso-Zarazaga MA, Lyal CHC (1999) A world catalogue of families and genera of Curculionoidea (Insecta: Coleoptera) excluding Scolytidae and Platypodidae. Entomopraxis, Barcelona, Spain, 315 pp. https://weevil.myspecies.info/sites/weevil.info/files/Alonso-Zarazaga%20%26%20Lyal,%201999_World%20Catalogue%20%28searchable%29.pdf	Se lista la tribu Cepurini (p. 189)
biolib.cz/en/taxon/id858132/	https://doi.org/10.3897/zookeys.88.807	Bouchard P, Bousquet Y, Davies A, Alonso-Zarazaga M, Lawrence J, Lyal C, Newton A, Reid C, Schmitt M, Slipinski A, Smith A (2011) Family-group names in Coleoptera (Insecta). ZooKeys 88: 1–972. https://doi.org/10.3897/zookeys.88.807	Se lista la tribu Cepurini (p. 91)
gbif.org/species/10942904	https://www.biodiversitylibrary.org/page/8254603	Jekel, H. (1865) Recherches sur la classification naturelle des Curculionides. 1re partie. Annales de la Société Entomologique de France 4(4: 3), 537–566.	Se nombra y diagnostica por primera vez el género Phelypera (p. 563)
gbif.org/species/10942904	https://www.biodiversitylibrary.org/page/32545979	Capiomont, G. (1867) Révision de la tribu des Hypérides, Lacordaire, et en particulier des genres Hypera Germ., Limobius, Schönh. et Coniatus (Germ.) Schönh. renfermant la description de plusieurs genres nouveaux et de 85 espèces nouvelles. Annales de la Société Entomologique de France 4(7: 3), 417-456 + pl. 11–12.	Se revisa el género Phelypera (p. 458)
gbif.org/species/10942904		Wibmer GJ, O’Brien CW (1986) Annotated checklist of the weevils (Curculionidae sensu lato) of South America (Coleoptera: Curculionoidea). Memoirs of the American Entomological Institute, 39, 1–563.	Se lista el género Phelypera (p. 111)
gbif.org/species/10942904	https://weevil.myspecies.info/sites/weevil.info/files/Alonso-Zarazaga%20%26%20Lyal,%201999_World%20Catalogue%20%28searchable%29.pdf	Alonso-Zarazaga MA, Lyal CHC (1999) A world catalogue of families and genera of Curculionoidea (Insecta: Coleoptera) excluding Scolytidae and Platypodidae. Entomopraxis, Barcelona, Spain, 315 pp. https://weevil.myspecies.info/sites/weevil.info/files/Alonso-Zarazaga%20%26%20Lyal,%201999_World%20Catalogue%20%28searchable%29.pdf	Se lista el género Phelypera (p. 189)
organismnames.com/details.htm?lsid=120966	https://www.biodiversitylibrary.org/page/4115130	Schönherr, C.J. (1842) Genera et species Curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. Leonardo Gyllenhal, C. H. Boheman, et entomologis aliis illustratae, tomus sextus, pars secunda. Roret, Paris, 495 pp.	Se describe por primera vez la especie como 'Phytonomus distigma' (p. 344)
organismnames.com/details.htm?lsid=120966	https://www.biodiversitylibrary.org/page/32545979	Capiomont, G. (1867) Révision de la tribu des Hypérides, Lacordaire, et en particulier des genres Hypera Germ., Limobius, Schönh. et Coniatus (Germ.) Schönh. renfermant la description de plusieurs genres nouveaux et de 85 espèces nouvelles. Annales de la Société Entomologique de France 4(7: 3), 417-456 + pl. 11–12.	Se presenta diagnosis para la especie Phelypera distigma y se diagnostican dos variedades; se registra Phelypera distigma en Colombia (p. 465)
organismnames.com/details.htm?lsid=120966	https://www.biodiversitylibrary.org/page/7876356	Blackwelder, R.E. (1944) Checklist of the coleopterous insects of Mexico, Central America, The West Indies, and South America. Bulletin of the United States National Museum 185, 1–1492.	Se lista la especie Phelypera distigma para Colombia (p. 815)
organismnames.com/details.htm?lsid=120966		Wibmer GJ, O’Brien CW (1986) Annotated checklist of the weevils (Curculionidae sensu lato) of South America (Coleoptera: Curculionoidea). Memoirs of the American Entomological Institute, 39, 1–563.	Se lista la especie Phelypera distigma para Colombia (p. 111)
organismnames.com/details.htm?lsid=120966	https://doi.org/10.1111/j.1439-0310.2004.00999.x	Costa, J.T., Fitzgerald, T.D., Pescador-Rubio, A., Mays, J. & Janzen, D.H. (2004) Social Behavior of Larvae of the Neotropical Processionary Weevil Phelypera distigma (Boheman) (Coleoptera: Curculionidae: Hyperinae). Ethology 110, 515–530.	Comportamiento de las larvas de Phelypera distigma en Mexico y Costa Rica (p. 515)
organismnames.com/details.htm?lsid=4762310	https://www.biodiversitylibrary.org/page/4115130	Schönherr, C.J. (1842) Genera et species Curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. Leonardo Gyllenhal, C. H. Boheman, et entomologis aliis illustratae, tomus sextus, pars secunda. Roret, Paris, 495 pp.	Se describe por primera vez la especie Phytonomus distigma (p. 344)
