id	identifier	bibliographicCitation	description
gbif.org/species/7846	https://www.biodiversitylibrary.org/page/9635809	Lacordaire, JT (1854) Histoire naturelle des insectes. Genera de coléoptères ou éxpose méthodique de tous les genres proposes jusqu'ici dans cet ordre d'insectes. Librairie encyclopédique de Roret, París, vol. 2, 548 pp. https://www.biodiversitylibrary.org/page/9635809	Primera vez que se describe 'Pséphénides' como tribu de Parnides (Familia Parnidae. p. 497)
gbif.org/species/7846	https://www.biodiversitylibrary.org/page/7876356	Blackwelder RE (1944) Checklist of the coleopterous insects of Mexico, Central America, The West Indies, and South America. Bulletin of the United States National Museum 185: 1–1492. https://www.biodiversitylibrary.org/page/54323589	Se lista la familia Psephenidae dentro de la Superfamilia Dryopoidea (p. 274)
gbif.org/species/7846	https://www.researchgate.net/publication/278968106_Sinopsis_de_la_familia_Psephenidae_Coleoptera_Dryopoidea_de_Norte_y_Centroamerica	Arce-Pérez, R., & Shepard, Y. D. (2001). Sinopsis de la familia Psephenidae (Coleoptera: Dryopoidea) de norte y centroamérica. Folia Entomol Mex, 40(3), 397-406. https://www.researchgate.net/publication/278968106_Sinopsis_de_la_familia_Psephenidae_Coleoptera_Dryopoidea_de_Norte_y_Centroamerica	Resumen sobre la familia Psephenidae en Centro y Norte América, con clave a géneros
gbif.org/species/7846	https://doi.org/10.3897/zookeys.88.807	Bouchard P, Bousquet Y, Davies A, Alonso-Zarazaga M, Lawrence J, Lyal C, Newton A, Reid C, Schmitt M, Slipinski A, Smith A. (2011) Family-group names in Coleoptera (Insecta). ZooKeys 88: 1–972. https://doi.org/10.3897/zookeys.88.807	Se lista la familia Psephenidae dentro de la Superfamilia Byrrhoidea (p. 295)
ubio.org/browser/details.php?namebankID=1054462	https://www.biodiversitylibrary.org/page/9635809	Lacordaire, JT (1854) Histoire naturelle des insectes. Genera de coléoptères ou éxpose méthodique de tous les genres proposes jusqu'ici dans cet ordre d'insectes. Librairie encyclopédique de Roret, París, vol. 2, 548 pp. https://www.biodiversitylibrary.org/page/9635809	Primera vez que se describe 'Pséphénides' como grupo ( p. 497)
ubio.org/browser/details.php?namebankID=1054462	https://www.biodiversitylibrary.org/page/7876356	Blackwelder RE (1944) Checklist of the coleopterous insects of Mexico, Central America, The West Indies, and South America. Bulletin of the United States National Museum 185: 1–1492. https://www.biodiversitylibrary.org/page/54323589	Se lista la subfamilia Psepheninae (p. 274)
ubio.org/browser/details.php?namebankID=1054462	https://www.researchgate.net/publication/278968106_Sinopsis_de_la_familia_Psephenidae_Coleoptera_Dryopoidea_de_Norte_y_Centroamerica	Arce-Pérez, R., & Shepard, Y. D. (2001). Sinopsis de la familia Psephenidae (Coleoptera: Dryopoidea) de norte y centroamérica. Folia Entomol Mex, 40(3), 397-406. https://www.researchgate.net/publication/278968106_Sinopsis_de_la_familia_Psephenidae_Coleoptera_Dryopoidea_de_Norte_y_Centroamerica	Se lista la subfamilia Psepheninae (p. 400)
ubio.org/browser/details.php?namebankID=1054462	https://doi.org/10.3897/zookeys.88.807	Bouchard P, Bousquet Y, Davies A, Alonso-Zarazaga M, Lawrence J, Lyal C, Newton A, Reid C, Schmitt M, Slipinski A, Smith A. (2011) Family-group names in Coleoptera (Insecta). ZooKeys 88: 1–972. https://doi.org/10.3897/zookeys.88.807	Se lista la subfamilia Psepheninae (p. 49)
gbif.org/species/1033402	https://repository.naturalis.nl/pub/508758	Grouvelle, A. (1898) Clavicornes de Grenada et de St. Vincent (Antilles) récoltés par MHH Smith, et appartenant au Musée de Cambridge. Notes from the Leyden Museum, 20(1), 35-48. https://repository.naturalis.nl/pub/508758	Se describe por primera vez el género Psephenops (p. 44-46)
gbif.org/species/1033402	https://www.biodiversitylibrary.org/page/7876356	Blackwelder RE (1944) Checklist of the coleopterous insects of Mexico, Central America, The West Indies, and South America. Bulletin of the United States National Museum 185: 1–1492. https://www.biodiversitylibrary.org/page/54323589	Se lista el género Psephenops (p. 274)
gbif.org/species/1033402	https://www.researchgate.net/publication/278968106_Sinopsis_de_la_familia_Psephenidae_Coleoptera_Dryopoidea_de_Norte_y_Centroamerica	Arce-Pérez, R., & Shepard, Y. D. (2001). Sinopsis de la familia Psephenidae (Coleoptera: Dryopoidea) de norte y centroamérica. Folia Entomol Mex, 40(3), 397-406. https://www.researchgate.net/publication/278968106_Sinopsis_de_la_familia_Psephenidae_Coleoptera_Dryopoidea_de_Norte_y_Centroamerica	Se lista el género Psephenops (p. 400)
gbif.org/species/1033409	https://www.biodiversitylibrary.org/page/50902683	Darlington, PJ. (1936) A list of the West Indian Dryopidae (Coleoptera), with a new genus and eight new species, including one from Colombia. Psyche, 43(2-3): 65-83. https://www.biodiversitylibrary.org/page/50902683	Se describe por primera vez la especie Psephenops macullicolis (p. 71)
gbif.org/species/1033409	https://www.biodiversitylibrary.org/page/54323589	Blackwelder RE (1944) Checklist of the coleopterous insects of Mexico, Central America, The West Indies, and South America. Bulletin of the United States National Museum 185: 1–1492. https://www.biodiversitylibrary.org/page/54323589	Se lista la especie Psephenops macullicolis para Colombia (p. 274)
